,Indicator Name,Country Code,Country Name,Year,Value,Location,Area,Population
159,"Proportion of population using basic sanitation services, URBAN (%)",AGO,Angola,2017,64.32565,URBAN,Urbanism,31127674
160,"Proportion of population using basic sanitation services, RURAL (%)",BRA,Brazil,2010,50.19458,RURAL,Urbanism,210147125
161,"Proportion of population using basic sanitation services, URBAN (%)",BRA,Brazil,2010,88.04653,URBAN,Urbanism,210147125
162,"Proportion of population using basic sanitation services, RURAL (%)",BRA,Brazil,2011,51.614709999999995,RURAL,Urbanism,210147125
163,"Proportion of population using basic sanitation services, URBAN (%)",BRA,Brazil,2011,88.71677,URBAN,Urbanism,210147125
164,"Proportion of population using basic sanitation services, URBAN (%)",BRA,Brazil,2012,89.38799,URBAN,Urbanism,210147125
165,"Proportion of population using basic sanitation services, RURAL (%)",BRA,Brazil,2012,53.03536,RURAL,Urbanism,210147125
166,"Proportion of population using basic sanitation services, URBAN (%)",BRA,Brazil,2013,90.06019,URBAN,Urbanism,210147125
167,"Proportion of population using basic sanitation services, RURAL (%)",BRA,Brazil,2013,54.456509999999994,RURAL,Urbanism,210147125
168,"Proportion of population using basic sanitation services, RURAL (%)",BRA,Brazil,2014,55.87816,RURAL,Urbanism,210147125
169,"Proportion of population using basic sanitation services, URBAN (%)",BRA,Brazil,2014,90.73338000000001,URBAN,Urbanism,210147125
170,"Proportion of population using basic sanitation services, RURAL (%)",BRA,Brazil,2015,57.300309999999996,RURAL,Urbanism,210147125
171,"Proportion of population using basic sanitation services, URBAN (%)",BRA,Brazil,2015,91.40756,URBAN,Urbanism,210147125
172,"Proportion of population using basic sanitation services, RURAL (%)",BRA,Brazil,2016,58.72298000000001,RURAL,Urbanism,210147125
173,"Proportion of population using basic sanitation services, URBAN (%)",BRA,Brazil,2016,92.08270999999999,URBAN,Urbanism,210147125
174,"Proportion of population using basic sanitation services, RURAL (%)",BRA,Brazil,2017,60.14614,RURAL,Urbanism,210147125
175,"Proportion of population using basic sanitation services, URBAN (%)",BRA,Brazil,2017,92.75885,URBAN,Urbanism,210147125
176,"Proportion of population using basic sanitation services, RURAL (%)",CPV,Cabo Verde,2010,46.0316,RURAL,Urbanism,543767
177,"Proportion of population using basic sanitation services, URBAN (%)",CPV,Cabo Verde,2010,70.14405,URBAN,Urbanism,543767
178,"Proportion of population using basic sanitation services, RURAL (%)",CPV,Cabo Verde,2011,48.410309999999996,RURAL,Urbanism,543767
179,"Proportion of population using basic sanitation services, URBAN (%)",CPV,Cabo Verde,2011,71.60353,URBAN,Urbanism,543767
180,"Proportion of population using basic sanitation services, URBAN (%)",CPV,Cabo Verde,2012,73.06302,URBAN,Urbanism,543767
181,"Proportion of population using basic sanitation services, RURAL (%)",CPV,Cabo Verde,2012,50.78901,RURAL,Urbanism,543767
182,"Proportion of population using basic sanitation services, RURAL (%)",CPV,Cabo Verde,2013,53.167719999999996,RURAL,Urbanism,543767
183,"Proportion of population using basic sanitation services, URBAN (%)",CPV,Cabo Verde,2013,74.52251,URBAN,Urbanism,543767
184,"Proportion of population using basic sanitation services, RURAL (%)",CPV,Cabo Verde,2014,55.54643000000001,RURAL,Urbanism,543767
185,"Proportion of population using basic sanitation services, URBAN (%)",CPV,Cabo Verde,2014,75.982,URBAN,Urbanism,543767
186,"Proportion of population using basic sanitation services, URBAN (%)",CPV,Cabo Verde,2015,77.44149,URBAN,Urbanism,543767
187,"Proportion of population using basic sanitation services, RURAL (%)",CPV,Cabo Verde,2015,57.92513,RURAL,Urbanism,543767
188,"Proportion of population using basic sanitation services, URBAN (%)",CPV,Cabo Verde,2016,78.77973,URBAN,Urbanism,543767
189,"Proportion of population using basic sanitation services, RURAL (%)",CPV,Cabo Verde,2016,60.226440000000004,RURAL,Urbanism,543767
190,"Proportion of population using basic sanitation services, RURAL (%)",CPV,Cabo Verde,2017,62.35296999999999,RURAL,Urbanism,543767
191,"Proportion of population using basic sanitation services, URBAN (%)",CPV,Cabo Verde,2017,79.97577,URBAN,Urbanism,543767
192,"Proportion of population using basic sanitation services, RURAL (%)",GIN,Guinea,2010,10.91202,RURAL,Urbanism,1308975
193,"Proportion of population using basic sanitation services, URBAN (%)",GIN,Guinea,2010,29.786759999999997,URBAN,Urbanism,1308975
194,"Proportion of population using basic sanitation services, URBAN (%)",GIN,Guinea,2011,30.242140000000003,URBAN,Urbanism,1308975
195,"Proportion of population using basic sanitation services, RURAL (%)",GIN,Guinea,2011,11.727789999999999,RURAL,Urbanism,1308975
196,"Proportion of population using basic sanitation services, RURAL (%)",GIN,Guinea,2012,12.54946,RURAL,Urbanism,1308975
197,"Proportion of population using basic sanitation services, URBAN (%)",GIN,Guinea,2012,30.68027,URBAN,Urbanism,1308975
198,"Proportion of population using basic sanitation services, RURAL (%)",GIN,Guinea,2013,13.37705,RURAL,Urbanism,1308975
199,"Proportion of population using basic sanitation services, URBAN (%)",GIN,Guinea,2013,31.10114,URBAN,Urbanism,1308975
200,"Proportion of population using basic sanitation services, RURAL (%)",GIN,Guinea,2014,14.21054,RURAL,Urbanism,1308975
201,"Proportion of population using basic sanitation services, URBAN (%)",GIN,Guinea,2014,31.50475,URBAN,Urbanism,1308975
202,"Proportion of population using basic sanitation services, URBAN (%)",GIN,Guinea,2015,32.25978,URBAN,Urbanism,1308975
203,"Proportion of population using basic sanitation services, RURAL (%)",GIN,Guinea,2015,14.993360000000001,RURAL,Urbanism,1308975
204,"Proportion of population using basic sanitation services, RURAL (%)",GIN,Guinea,2016,15.77617,RURAL,Urbanism,1308975
205,"Proportion of population using basic sanitation services, URBAN (%)",GIN,Guinea,2016,33.01481,URBAN,Urbanism,1308975
206,"Proportion of population using basic sanitation services, URBAN (%)",GIN,Guinea,2017,33.76984,URBAN,Urbanism,1308975
207,"Proportion of population using basic sanitation services, RURAL (%)",GIN,Guinea,2017,16.558989999999998,RURAL,Urbanism,1308975
208,"Proportion of population using basic sanitation services, RURAL (%)",MOZ,Mozambique,2010,10.16548,RURAL,Urbanism,30066648
209,"Proportion of population using basic sanitation services, URBAN (%)",MOZ,Mozambique,2010,43.756,URBAN,Urbanism,30066648
210,"Proportion of population using basic sanitation services, RURAL (%)",MOZ,Mozambique,2011,11.07288,RURAL,Urbanism,30066648
211,"Proportion of population using basic sanitation services, URBAN (%)",MOZ,Mozambique,2011,44.97201,URBAN,Urbanism,30066648
212,"Proportion of population using basic sanitation services, URBAN (%)",MOZ,Mozambique,2012,46.18909,URBAN,Urbanism,30066648
213,"Proportion of population using basic sanitation services, RURAL (%)",MOZ,Mozambique,2012,11.99206,RURAL,Urbanism,30066648
214,"Proportion of population using basic sanitation services, RURAL (%)",MOZ,Mozambique,2013,12.923,RURAL,Urbanism,30066648
215,"Proportion of population using basic sanitation services, URBAN (%)",MOZ,Mozambique,2013,47.40724,URBAN,Urbanism,30066648
216,"Proportion of population using basic sanitation services, RURAL (%)",MOZ,Mozambique,2014,13.86573,RURAL,Urbanism,30066648
217,"Proportion of population using basic sanitation services, URBAN (%)",MOZ,Mozambique,2014,48.62647,URBAN,Urbanism,30066648
218,"Proportion of population using basic sanitation services, URBAN (%)",MOZ,Mozambique,2015,49.846759999999996,URBAN,Urbanism,30066648
219,"Proportion of population using basic sanitation services, RURAL (%)",MOZ,Mozambique,2015,14.82022,RURAL,Urbanism,30066648
220,"Proportion of population using basic sanitation services, RURAL (%)",MOZ,Mozambique,2016,15.786489999999999,RURAL,Urbanism,30066648
221,"Proportion of population using basic sanitation services, URBAN (%)",MOZ,Mozambique,2016,51.06813,URBAN,Urbanism,30066648
222,"Proportion of population using basic sanitation services, RURAL (%)",MOZ,Mozambique,2017,16.76454,RURAL,Urbanism,30066648
223,"Proportion of population using basic sanitation services, URBAN (%)",MOZ,Mozambique,2017,52.29058,URBAN,Urbanism,30066648
224,"Proportion of population using basic sanitation services, URBAN (%)",PRT,Portugal,2010,99.07302,URBAN,Urbanism,10295909
225,"Proportion of population using basic sanitation services, RURAL (%)",PRT,Portugal,2010,98.34992,RURAL,Urbanism,10295909
226,"Proportion of population using basic sanitation services, URBAN (%)",PRT,Portugal,2011,99.13502,URBAN,Urbanism,10295909
227,"Proportion of population using basic sanitation services, RURAL (%)",PRT,Portugal,2011,98.5889,RURAL,Urbanism,10295909
228,"Proportion of population using basic sanitation services, RURAL (%)",PRT,Portugal,2012,98.82789,RURAL,Urbanism,10295909
229,"Proportion of population using basic sanitation services, URBAN (%)",PRT,Portugal,2012,99.19702,URBAN,Urbanism,10295909
230,"Proportion of population using basic sanitation services, RURAL (%)",PRT,Portugal,2013,99.06687,RURAL,Urbanism,10295909
231,"Proportion of population using basic sanitation services, URBAN (%)",PRT,Portugal,2013,99.25903000000001,URBAN,Urbanism,10295909
232,"Proportion of population using basic sanitation services, RURAL (%)",PRT,Portugal,2014,99.30586,RURAL,Urbanism,10295909
